"";"Vitesse";"Distance_Reaction";"Distance_freinage";"Conducteur";"Nombre_passagers";"Heure_controle";"Exces_Vitesse"
"28";48,32;13,42;11,49;"Homme";2;"Entre 11h30 et 13h30";"Non"
"29";49,42;13,73;12,02;"Homme";2;"Entre 11h30 et 13h30";"Non"
"30";50,28;13,97;12,44;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"31";45,37;12,6;10,13;"Femme";4;"Entre 11h30 et 13h30";"Non"
"32";54,36;15,1;14,54;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"33";51,13;14,2;12,87;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"34";49,24;13,68;11,93;"Femme";2;"Entre 11h30 et 13h30";"Non"
"35";54,59;15,16;14,67;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"36";52,55;14,6;13,59;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"37";50,63;14,06;12,62;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"38";45,29;12,58;10,09;"Homme";4;"Entre 11h30 et 13h30";"Non"
"39";47,24;13,12;10,98;"Homme";4;"Entre 11h30 et 13h30";"Non"
"40";50,49;14,03;12,55;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"41";48,93;13,59;11,78;"Homme";2;"Entre 11h30 et 13h30";"Non"
"42";54,04;15,01;14,37;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"43";49,77;13,83;12,19;"Homme";2;"Entre 11h30 et 13h30";"Non"
"44";47,98;13,33;11,33;"Femme";4;"Entre 11h30 et 13h30";"Non"
"45";45,73;12,7;10,29;"Homme";4;"Entre 11h30 et 13h30";"Non"
"46";53,73;14,92;14,21;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"47";52,28;14,52;13,45;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"48";52,16;14,49;13,39;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"49";47,24;13,12;10,98;"Femme";4;"Entre 11h30 et 13h30";"Non"
"50";53,81;14,95;14,25;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"51";50,11;13,92;12,36;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"52";54,1;15,03;14,4;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"53";45,31;12,59;10,1;"Femme";4;"Entre 11h30 et 13h30";"Non"
"54";47,37;13,16;11,04;"Femme";4;"Entre 11h30 et 13h30";"Non"
"55";53,2;14,78;13,93;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"56";48;13,33;11,34;"Homme";4;"Entre 11h30 et 13h30";"Non"
"57";50,06;13,91;12,33;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"58";53,45;14,85;14,06;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"59";50,62;14,06;12,61;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"60";54,04;15,01;14,37;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"61";47,79;13,27;11,24;"Femme";4;"Entre 11h30 et 13h30";"Non"
"62";54,31;15,09;14,52;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"63";48,49;13,47;11,57;"Homme";2;"Entre 11h30 et 13h30";"Non"
"64";52,9;14,69;13,77;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"65";50,06;13,91;12,33;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"66";45,49;12,64;10,18;"Femme";4;"Entre 11h30 et 13h30";"Non"
"67";51,29;14,25;12,95;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"68";54,29;15,08;14,5;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"69";52,36;14,54;13,49;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"70";48,41;13,45;11,53;"Homme";2;"Entre 11h30 et 13h30";"Non"
"71";45,87;12,74;10,35;"Homme";4;"Entre 11h30 et 13h30";"Non"
"72";48,1;13,36;11,39;"Femme";2;"Entre 11h30 et 13h30";"Non"
"73";45,2;12,56;10,05;"Femme";4;"Entre 11h30 et 13h30";"Non"
"74";53;14,72;13,82;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"75";45,12;12,53;10,02;"Femme";4;"Entre 11h30 et 13h30";"Non"
"76";47,38;13,16;11,05;"Femme";4;"Entre 11h30 et 13h30";"Non"
"77";50,64;14,07;12,62;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"78";49,56;13,77;12,09;"Femme";2;"Entre 11h30 et 13h30";"Non"
"79";49,84;13,84;12,22;"Homme";2;"Entre 11h30 et 13h30";"Non"
"80";48,38;13,44;11,52;"Homme";2;"Entre 11h30 et 13h30";"Non"
"81";54,66;15,18;14,7;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"82";54;15;14,35;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"83";48,18;13,38;11,42;"Homme";2;"Entre 11h30 et 13h30";"Non"
"84";52,17;14,49;13,39;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"85";54,61;15,17;14,68;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"86";45,64;12,68;10,25;"Femme";4;"Entre 11h30 et 13h30";"Non"
"87";52,64;14,62;13,64;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"88";47,03;13,06;10,88;"Homme";4;"Entre 11h30 et 13h30";"Non"
"89";51,89;14,41;13,25;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"90";51,64;14,34;13,12;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"91";47,98;13,33;11,33;"Homme";4;"Entre 11h30 et 13h30";"Non"
"92";45,32;12,59;10,11;"Femme";4;"Entre 11h30 et 13h30";"Non"
"93";49,88;13,86;12,24;"Homme";2;"Entre 11h30 et 13h30";"Non"
"94";47,55;13,21;11,13;"Femme";4;"Entre 11h30 et 13h30";"Non"
"95";53,42;14,84;14,04;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"96";51,23;14,23;12,92;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"97";52,57;14,6;13,6;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"98";50,88;14,13;12,74;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"99";47,1;13,08;10,92;"Homme";4;"Entre 11h30 et 13h30";"Non"
"100";54,3;15,08;14,51;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"101";52,29;14,52;13,46;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"102";52,13;14,48;13,37;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"103";46,16;12,82;10,49;"Femme";4;"Entre 11h30 et 13h30";"Non"
"104";53,6;14,89;14,14;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"105";54,26;15,07;14,49;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"106";49,65;13,79;12,13;"Femme";2;"Entre 11h30 et 13h30";"Non"
"107";45,65;12,68;10,26;"Homme";4;"Entre 11h30 et 13h30";"Non"
"108";53,24;14,79;13,95;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"109";45,13;12,54;10,02;"Femme";4;"Entre 11h30 et 13h30";"Non"
"110";46,46;12,91;10,62;"Femme";4;"Entre 11h30 et 13h30";"Non"
"111";48,52;13,48;11,59;"Femme";2;"Entre 11h30 et 13h30";"Non"
"112";49,69;13,8;12,15;"Homme";2;"Entre 11h30 et 13h30";"Non"
"113";47,76;13,27;11,23;"Femme";4;"Entre 11h30 et 13h30";"Non"
"114";52,26;14,52;13,44;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"115";48,05;13,35;11,36;"Homme";2;"Entre 11h30 et 13h30";"Non"
"116";51,72;14,37;13,16;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"117";45,02;12,51;9,97;"Homme";4;"Entre 11h30 et 13h30";"Non"
"118";53,85;14,96;14,27;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"119";48,47;13,46;11,56;"Femme";2;"Entre 11h30 et 13h30";"Non"
"120";47,59;13,22;11,15;"Homme";4;"Entre 11h30 et 13h30";"Non"
"121";54,6;15,17;14,67;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"122";51,34;14,26;12,97;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"123";53,18;14,77;13,92;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"124";52,14;14,48;13,38;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"125";49,03;13,62;11,83;"Femme";2;"Entre 11h30 et 13h30";"Non"
"126";48,05;13,35;11,36;"Homme";2;"Entre 11h30 et 13h30";"Non"
"127";49,63;13,79;12,12;"Homme";2;"Entre 11h30 et 13h30";"Non"
"128";46,21;12,84;10,51;"Femme";4;"Entre 11h30 et 13h30";"Non"
"129";52,22;14,51;13,42;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"130";51,12;14,2;12,86;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"131";52,12;14,48;13,37;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"132";50,5;14,03;12,55;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"133";48,32;13,42;11,49;"Homme";2;"Entre 11h30 et 13h30";"Non"
"134";45,85;12,74;10,35;"Femme";4;"Entre 11h30 et 13h30";"Non"
"135";47,8;13,28;11,24;"Homme";4;"Entre 11h30 et 13h30";"Non"
"136";50,5;14,03;12,55;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"137";46,55;12,93;10,66;"Homme";4;"Entre 11h30 et 13h30";"Non"
"138";48,98;13,61;11,81;"Homme";2;"Entre 11h30 et 13h30";"Non"
"139";45,62;12,67;10,24;"Homme";4;"Entre 11h30 et 13h30";"Non"
"140";50,79;14,11;12,7;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"141";53,87;14,96;14,28;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"142";52,04;14,46;13,33;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"143";50,05;13,9;12,33;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"144";48,72;13,53;11,68;"Homme";2;"Entre 11h30 et 13h30";"Non"
"145";48,28;13,41;11,47;"Femme";2;"Entre 11h30 et 13h30";"Non"
"146";54,26;15,07;14,49;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"147";54,6;15,17;14,67;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"148";52,2;14,5;13,41;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"149";53,29;14,8;13,98;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"150";52,7;14,64;13,67;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"151";45,52;12,64;10,2;"Femme";4;"Entre 11h30 et 13h30";"Non"
"152";51,8;14,39;13,2;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"153";50,13;13,93;12,37;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"154";45,46;12,63;10,17;"Homme";4;"Entre 11h30 et 13h30";"Non"
"155";45,27;12,58;10,09;"Homme";4;"Entre 11h30 et 13h30";"Non"
"156";48,01;13,34;11,34;"Femme";2;"Entre 11h30 et 13h30";"Non"
"157";53,58;14,88;14,13;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"158";47,49;13,19;11,1;"Femme";4;"Entre 11h30 et 13h30";"Non"
"159";47,1;13,08;10,92;"Homme";4;"Entre 11h30 et 13h30";"Non"
"160";49,24;13,68;11,93;"Femme";2;"Entre 11h30 et 13h30";"Non"
"161";49,31;13,7;11,97;"Femme";2;"Entre 11h30 et 13h30";"Non"
"162";51,02;14,17;12,81;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"163";47,45;13,18;11,08;"Femme";4;"Entre 11h30 et 13h30";"Non"
"164";49,48;13,74;12,05;"Homme";2;"Entre 11h30 et 13h30";"Non"
"165";53,52;14,87;14,1;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"166";46,12;12,81;10,47;"Femme";4;"Entre 11h30 et 13h30";"Non"
"167";46,25;12,85;10,53;"Homme";4;"Entre 11h30 et 13h30";"Non"
"168";45,63;12,68;10,25;"Homme";4;"Entre 11h30 et 13h30";"Non"
"169";53,51;14,86;14,09;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"170";54,74;15,21;14,75;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"171";51,89;14,41;13,25;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"172";47,88;13,3;11,28;"Homme";4;"Entre 11h30 et 13h30";"Non"
"173";53,28;14,8;13,97;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"174";48,85;13,57;11,74;"Homme";2;"Entre 11h30 et 13h30";"Non"
"175";49,87;13,85;12,24;"Femme";2;"Entre 11h30 et 13h30";"Non"
"176";47,07;13,07;10,9;"Homme";4;"Entre 11h30 et 13h30";"Non"
"177";49,02;13,62;11,83;"Homme";2;"Entre 11h30 et 13h30";"Non"
"178";50,1;13,92;12,35;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"179";48,43;13,45;11,54;"Homme";2;"Entre 11h30 et 13h30";"Non"
"180";52,62;14,62;13,63;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"181";46,88;13,02;10,82;"Homme";4;"Entre 11h30 et 13h30";"Non"
"182";45,33;12,59;10,11;"Homme";4;"Entre 11h30 et 13h30";"Non"
"183";54,12;15,03;14,41;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"184";52,78;14,66;13,71;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"185";54,59;15,16;14,67;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"186";46,86;13,02;10,81;"Homme";4;"Entre 11h30 et 13h30";"Non"
"187";54,75;15,21;14,75;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"188";46,97;13,05;10,86;"Femme";4;"Entre 11h30 et 13h30";"Non"
"189";45,82;12,73;10,33;"Homme";4;"Entre 11h30 et 13h30";"Non"
"190";49,79;13,83;12,2;"Femme";2;"Entre 11h30 et 13h30";"Non"
"191";54,12;15,03;14,41;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"192";47,97;13,32;11,32;"Homme";4;"Entre 11h30 et 13h30";"Non"
"193";45,23;12,56;10,07;"Femme";4;"Entre 11h30 et 13h30";"Non"
"194";48,4;13,44;11,53;"Homme";2;"Entre 11h30 et 13h30";"Non"
"195";51,96;14,43;13,29;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"196";49,99;13,89;12,3;"Homme";2;"Entre 11h30 et 13h30";"Non"
"197";48,08;13,36;11,38;"Femme";2;"Entre 11h30 et 13h30";"Non"
"198";53,85;14,96;14,27;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"199";45,82;12,73;10,33;"Femme";4;"Entre 11h30 et 13h30";"Non"
"200";48,61;13,5;11,63;"Homme";2;"Entre 11h30 et 13h30";"Non"
"201";49,06;13,63;11,84;"Femme";2;"Entre 11h30 et 13h30";"Non"
"202";52,87;14,69;13,76;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"203";46,78;12,99;10,77;"Femme";4;"Entre 11h30 et 13h30";"Non"
"204";45,14;12,54;10,03;"Homme";4;"Entre 11h30 et 13h30";"Non"
"205";51,98;14,44;13,3;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"206";51,98;14,44;13,3;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"207";51,57;14,32;13,09;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"208";47,87;13,3;11,28;"Homme";4;"Entre 11h30 et 13h30";"Non"
